Cellulomonas gilvus	13	7.09113729349135e-04	8.13129472026622e-04
Rubritalea profundi	1	1.30313381529303e-04	0.00000000000000e+00
Novosphingobium pentaromativorans	7	3.22562789077038e-04	6.30276148560905e-04
Plasmodium coatneyi	21	2.04039687951331e-03	1.28584962722725e-03
Hymenobacter sp. APR13	5	7.23710818493405e-04	9.42370408459884e-04
Rhizobium sp. BK316	1	4.64014277533714e-05	0.00000000000000e+00
Salinibacterium xinjiangense	12	7.43888214041643e-04	4.21427135823732e-04
Methylobacillus rhizosphaerae	29	2.07643490089270e-04	1.92660728234222e-04
Acinetobacter portensis	19	1.12677522327800e-04	4.65695726525858e-05
Clostridioides sp. ES-S-0054-01	1	2.88863133210014e-05	0.00000000000000e+00
Aquibium oceanicum	6	3.14182142210559e-04	2.21992915504097e-04
Mesorhizobium sp. NZP2298	3	8.96918201260104e-05	4.32566844940791e-05
Streptomyces phaeolivaceus	1	7.80537454675166e-05	0.00000000000000e+00
Mycolicibacterium sp. CAU 1645	3	1.10053378494741e-04	5.34309019727423e-05
Jejubacter calystegiae	9	3.98483237169545e-03	5.60709148966390e-03
Dysgonomonas capnocytophagoides	1	9.39552923137054e-05	0.00000000000000e+00
Novosphingobium sp. FSW06-99	4	2.63863834697363e-04	2.00389969246847e-04
Pseudomonas sichuanensis	2	9.90784209827752e-05	2.10246755152587e-05
Knoellia flava	11	5.04735409517266e-04	5.26942700893417e-04
Bradyrhizobium sp. 142	19	1.45160411443007e-04	9.97353293020900e-05
Erwinia billingiae	12	2.21912125348341e-04	1.36087740847428e-04
Streptomyces decoyicus	3	1.38984079200059e-04	8.05033649458856e-05
Bacillus sp. THAF10	1	3.51044179155678e-05	0.00000000000000e+00
Actinomyces sp. oral taxon 172	29	1.02213203800272e-03	3.76930096624232e-03
Avibacterium gallinarum	2	1.37997581065645e-04	4.92815583043071e-05
Pseudomonas umsongensis	17	2.56069668221243e-04	3.54801272080725e-04
Kitasatospora albolonga	1	3.25219116379661e-03	0.00000000000000e+00
Pseudalkalibacillus hwajinpoensis	3	9.37583551342465e-05	3.56662898934524e-05
Crenobacter cavernae	25	1.89621329813353e-04	1.57280374484539e-04
Alkalihalobacillus lehensis	1	4.71423308997519e-05	0.00000000000000e+00
Parapusillimonas granuli	47	3.02905353860761e-04	2.40047339580524e-04
Pseudomonas delhiensis	2	1.22232428057346e-04	3.51743890744972e-05
Pontimonas salivibrio	7	4.58292177708470e-04	4.89410426032368e-04
Vibrio alfacsensis	2	1.67287684590118e-04	3.69743030608150e-05
Rhizobium borbori	4	7.37784612350036e-04	4.07630344689340e-04
Kineosporia sp. R_H_3	10	3.48603764917208e-04	2.47939693594206e-04
Salinibacterium sp. dk2585	16	8.61485772851847e-04	7.77296828717792e-04
Bacillus nitratireducens	3	7.27282774248703e-03	9.62213970517400e-03
Zhihengliuella salsuginis	3	1.90988401963617e-04	1.12144602031023e-04
Syntrophorhabdus aromaticivorans	24	2.10589034763108e-04	2.43037269972189e-04
Candidatus Nitrosacidococcus tergens	11	9.95217563660493e-05	4.19194830534570e-05
Streptococcus catagoni	9	7.97626734173418e-03	1.11245149968629e-02
Desertibacillus haloalkaliphilus	9	2.15531037759717e-04	2.22626823373102e-04
Deinococcus sp. TS-293	1	1.46246659909096e-04	0.00000000000000e+00
Pseudomonas vranovensis	3	9.50221483035452e-05	3.88234319066754e-05
Novosphingobium taihuense	2	1.16652349445972e-04	2.95943104631237e-05
Bosea sp. AS-1	16	2.72099671564393e-04	4.15796989260375e-04
Rothia sp. HMSC075F09	4	2.87629551619694e-04	3.69453040647336e-04
Paucidesulfovibrio longus	3	2.72823294535581e-04	1.09321410401551e-04
Acinetobacter indicus	50	1.63002751774694e-03	4.59823894670284e-03
Enterococcus dispar	3	3.30927119137417e-04	4.11055402000219e-04
Photorhabdus heterorhabditis	1	1.73626755605236e-04	0.00000000000000e+00
Mycetohabitans sp. B6	1	1.57406817131843e-04	0.00000000000000e+00
Limimaricola variabilis	1	1.57406817131843e-04	0.00000000000000e+00
Lactobacillus terrae	3	3.30927119137417e-04	4.11055402000219e-04
Vibrio sp. MEBiC08052	1	1.30313381529303e-04	0.00000000000000e+00
Ruminococcus sp. AM27-16	1	1.38356026027536e-03	0.00000000000000e+00
Anoxybacillus tepidamans	13	4.86936178071148e-04	6.32227546027110e-04
Kalamiella piersonii	9	2.29398109312258e-04	1.86033519530270e-04
Cellulomonas avistercoris	2	9.89515857213492e-05	2.08978402538326e-05
Escherichia sp. E14S1	5	9.58071971967150e-04	9.05806448798208e-04
Tabrizicola sp. WMC-M-20	1	1.68899632406840e-04	0.00000000000000e+00
